Question,Type,Options,Answer"Select options","checklist","Make this my default resumé","Make this my default resumé"
"Profile (4).pdf","radiobutton","Profile (4).pdf | Yoga Adi Saputra - Full Stack Developer - Glints TapLoker.pdf | Don't include a resumé","Yoga Adi Saputra - Full Stack Developer - Glints TapLoker.pdf"
"Select one option","radiobutton","Upload a cover letter | Write a cover letter | Don't include a cover letter","Don't include a cover letter"
"Select options","checklist","Make this my default resumé","Make this my default resumé"
"Which of the following statements best describes your right to work in Indonesia?","dropdown"," | I'm an Indonesian citizen | I have an Employment pass/Work permit | I have an Indonesian residence permit (KITAS/KITAP) | I have a Business Visa | I have an ABTC (APEC Business Travel Card) | I require sponsorship to work for a new employer in Indonesia","I'm an Indonesian citizen"
"What's your expected monthly basic salary?","dropdown","Rp 1 million | Rp 1.5 million | Rp 2 million | Rp 2.5 million | Rp 3 million | Rp 3.5 million | Rp 4 million | Rp 4.5 million | Rp 5 million | Rp 5.5 million | Rp 6 million | Rp 7 million | Rp 8 million | Rp 9 million | Rp 10 million | Rp 15 million | Rp 20 million | Rp 25 million | Rp 30 million | Rp 40 million | Rp 60 million | Rp 80 million | Rp 100 million or more","Rp 8 million"
"How many years' experience do you have as a Backend Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"Which of the following types of qualifications do you have?","dropdown","Elementary school (SD) or equivalent | SMP or equivalent | SMA/SMK or equivalent | Diploma 1 | Diploma 2 | Diploma 3 | Diploma 4 | Bachelor Degree (S1) | Professional Education Program | Masters Degree (S2) | Doctoral Degree (S3) | I have a qualification that is not listed here","Elementary school (SD) or equivalent"
"Which of the following back end development libraries and frameworks are you proficient in?","checklist","CodeIgniter | Yii | Joomla | CakePHP | Zend | Django | Ruby on Rails | Struts 2 | Symfony | Apache | SciPy | Play | NumPy | Grails | None of these","CodeIgniter"
"How many years' experience do you have as a Full Stack Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a java developer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"Pernyataan mana di bawah ini yang paling mendeskripsikan hakmu bekerja di Indonesia?","dropdown"," | Saya adalah warga negara Indonesia | Saya memiliki izin Ketenagakerjaan/Kerja | Saya memiliki izin tinggal Indonesia (KITAS/KITAP) | Saya memiliki Visa Bisnis | Saya memiliki ABTC (APEC Business Travel Card) | Saya membutuhkan sponsor untuk bekerja pada perusahaan baru di Indonesia","Saya adalah warga negara Indonesia"
